X,Y,PILE ID,Pile Color,X,Y,Z
-93.9959225646968,34.92040738973,5.65-S1.R052.D,Yellow,13689145.32,3012453.939,69.41458938
-93.9960116337937,34.9204252500631,5.65-S1.R052.E,Yellow,13689117.84,3012453.939,69.39798323
-93.9961007029289,34.9204431103312,5.65-S1.R052.F,Yellow,13689090.36,3012453.939,69.38137709
-93.9961874708244,34.9204605090814,5.65-S1.R052.G,Dark Blue,13689063.59,3012453.939,69.3652
-93.9962742387563,34.9204779077699,5.65-S1.R052.H,Yellow,13689036.82,3012453.939,69.34902291
-93.9963633080048,34.9204957678461,5.65-S1.R052.I,Yellow,13689009.34,3012453.939,69.33241677
-93.9964523772918,34.9205136278572,5.65-S1.R052.J,Yellow,13688981.86,3012453.939,69.31581062
-93.9965414466173,34.9205314878033,5.65-S1.R052.K,Light Green,13688954.38,3012453.939,69.29920448
-93.9966195929894,34.9205471574476,5.65-S1.R052.L,Yellow,13688930.27,3012453.939,69.28463483
-93.9956614216552,34.9204115826413,5.65-S1.R053.A,Yellow,13689221.02,3012473.939,69.43033483
-93.9957286447955,34.9204250625331,5.65-S1.R053.B,Light Green,13689200.28,3012473.939,69.41780166
-93.9958177138695,34.9204429230078,5.65-S1.R053.C,Yellow,13689172.8,3012473.939,69.40119552
-93.995906782982,34.9204607834173,5.65-S1.R053.D,Yellow,13689145.32,3012473.939,69.38458938
-93.9959958521329,34.9204786437618,5.65-S1.R053.E,Yellow,13689117.84,3012473.939,69.36798323
-93.9960849213222,34.9204965040411,5.65-S1.R053.F,Yellow,13689090.36,3012473.939,69.35137709
-93.9961716892703,34.9205139028024,5.65-S1.R053.G,Dark Blue,13689063.59,3012473.939,69.3352
-93.9962584572548,34.9205313015019,5.65-S1.R053.H,Yellow,13689036.82,3012473.939,69.31902291
-93.9963475265574,34.9205491615894,5.65-S1.R053.I,Yellow,13689009.34,3012473.939,69.30241677
-93.9964365958985,34.9205670216119,5.65-S1.R053.J,Yellow,13688981.86,3012473.939,69.28581062
-93.9965256652779,34.9205848815692,5.65-S1.R053.K,Light Green,13688954.38,3012473.939,69.26920448
-93.9966038116974,34.9206005512235,5.65-S1.R053.L,Yellow,13688930.27,3012473.939,69.25463483
-93.9956456397712,34.9204649762948,5.65-S1.R054.A,Yellow,13689221.02,3012493.939,69.40033483
