PILE ID,Pile Color,X,Y,Z
5.65-S1.R054.E,Yellow,13689117.84,3012493.939,69.33798323
5.65-S1.R054.F,Yellow,13689090.36,3012493.939,69.32137709
5.65-S1.R054.G,Dark Blue,13689063.59,3012493.939,69.3052
5.65-S1.R054.H,Yellow,13689036.82,3012493.939,69.28902291
5.65-S1.R054.I,Yellow,13689009.34,3012493.939,69.27241677
5.65-S1.R054.J,Yellow,13688981.86,3012493.939,69.25581062
5.65-S1.R054.K,Light Green,13688954.38,3012493.939,69.23920448
5.65-S1.R054.L,Yellow,13688930.27,3012493.939,69.22463483
5.65-S1.R055.A,Yellow,13689221.02,3012513.939,69.37033483
5.65-S1.R055.B,Light Green,13689200.28,3012513.939,69.35780166
5.65-S1.R055.C,Yellow,13689172.8,3012513.939,69.34119552
5.65-S1.R055.D,Yellow,13689145.32,3012513.939,69.32458938
5.65-S1.R055.E,Yellow,13689117.84,3012513.939,69.30798323
5.65-S1.R055.F,Yellow,13689090.36,3012513.939,69.29137709
5.65-S1.R055.G,Dark Blue,13689063.59,3012513.939,69.2752
5.65-S1.R055.H,Yellow,13689036.82,3012513.939,69.25902291
5.65-S1.R055.I,Yellow,13689009.34,3012513.939,69.24241677
5.65-S1.R055.J,Yellow,13688981.86,3012513.939,69.22581062
5.65-S1.R055.K,Yellow,13688954.38,3012513.939,69.20920448
5.65-S1.R055.L,Yellow,13688930.27,3012513.939,69.19463483
5.65-S1.R056.A,Light Blue,13689221.02,3012533.939,69.34033483
5.65-S1.R056.B,Light Green,13689200.28,3012533.939,69.32780166
5.65-S1.R056.C,Yellow,13689172.8,3012533.939,69.31119552
5.65-S1.R056.D,Yellow,13689145.32,3012533.939,69.29458938
5.65-S1.R056.E,Yellow,13689117.84,3012533.939,69.27798323
5.65-S1.R056.F,Yellow,13689090.36,3012533.939,69.26137709
5.65-S1.R056.G,Dark Blue,13689063.59,3012533.939,69.2452
5.65-S1.R056.H,Yellow,13689036.82,3012533.939,69.22902291
5.65-S1.R056.I,Yellow,13689009.34,3012533.939,69.21241677
5.65-S1.R056.J,Yellow,13688981.86,3012533.939,69.19581062
5.65-S1.R056.K,Yellow,13688954.38,3012533.939,69.17920448
5.65-S1.R056.L,Yellow,13688930.27,3012533.939,69.16463483
5.65-S1.R057.A,Yellow,13689221.02,3012553.939,69.31033483
5.65-S1.R057.B,Light Green,13689200.28,3012553.939,69.29780166
5.65-S1.R057.C,Yellow,13689172.8,3012553.939,69.28119552
5.65-S1.R057.D,Yellow,13689145.32,3012553.939,69.26458938
5.65-S1.R057.E,Yellow,13689117.84,3012553.939,69.24798323
5.65-S1.R057.F,Yellow,13689090.36,3012553.939,69.23137709
5.65-S1.R057.G,Dark Blue,13689063.59,3012553.939,69.2152
5.65-S1.R057.H,Yellow,13689036.82,3012553.939,69.19902291
5.65-S1.R057.I,Yellow,13689009.34,3012553.939,69.18241677
5.65-S1.R057.J,Yellow,13688981.86,3012553.939,69.16581062
5.65-S1.R057.K,Yellow,13688954.38,3012553.939,69.14920448
5.65-S1.R057.L,Yellow,13688930.27,3012553.939,69.13463483
5.65-S1.R058.A,Yellow,13689221.02,3012573.939,69.28033483
5.65-S1.R058.B,Light Green,13689200.28,3012573.939,69.26780166
5.65-S1.R058.C,Yellow,13689172.8,3012573.939,69.25119552
5.65-S1.R058.D,Yellow,13689145.32,3012573.939,69.23458938
5.65-S1.R058.E,Yellow,13689117.84,3012573.939,69.21798323
5.65-S1.R058.F,Yellow,13689090.36,3012573.939,69.20137709
