id,northing,easting,z,color
08.S3.R28.D,2165850.54,6531949.14,0,Blue - White
08.S3.R28.E,2165816.79,6531949.14,0,Pink - White
08.S3.R28.F,2165783.04,6531949.14,0,Pink - White
08.S3.R28.G,2165750.77,6531949.14,0,Green
08.S3.R28.H,2165718.49,6531949.14,0,Pink - White
08.S3.R28.I,2165684.75,6531949.14,0,Pink - White
08.S3.R28.J,2165651,6531949.14,0,Blue - White
08.S3.R28.K,2165621.39,6531949.14,0,Blue - White
08.S3.R28.L,2165591.77,6531949.14,0,Blue - Black
08.S2.R21.A,2166346.8,6531823.14,0,Pink - Black
08.S2.R21.B,2166317.19,6531823.14,0,Pink - Black
08.S2.R21.C,2166287.58,6531823.14,0,Pink - White
08.S2.R21.D,2166253.83,6531823.14,0,Green - White
08.S2.R21.E,2166220.08,6531823.14,0,Green - White
08.S2.R21.F,2166186.33,6531823.14,0,Green - White
08.S2.R21.G,2166154.06,6531823.14,0,Black
08.S2.R21.H,2166121.79,6531823.14,0,Green - White
08.S2.R21.I,2166088.04,6531823.14,0,Green - White
08.S2.R21.J,2166054.29,6531823.14,0,Green - White
08.S2.R21.K,2166024.68,6531823.14,0,Pink - Black
08.S2.R21.L,2165995.07,6531823.14,0,Pink - Black
08.S2.R22.A,2166347.28,6531841.14,0,Pink - Black
08.S2.R22.B,2166317.67,6531841.14,0,Pink - Black
08.S2.R22.C,2166288.06,6531841.14,0,Pink - White
08.S2.R22.D,2166254.31,6531841.14,0,Green - White
08.S2.R22.E,2166220.56,6531841.14,0,Green - White
08.S2.R22.F,2166186.81,6531841.14,0,Green - White
08.S2.R22.G,2166154.54,6531841.14,0,Orange - Black
08.S2.R22.H,2166122.27,6531841.14,0,Green - White
08.S2.R22.I,2166088.52,6531841.14,0,Green - White
08.S2.R22.J,2166054.77,6531841.14,0,Green - White
08.S2.R22.K,2166025.16,6531841.14,0,Pink - Black
08.S2.R22.L,2165995.55,6531841.14,0,Pink - Black
08.S2.R23.A,2166347.76,6531859.14,0,Pink - Black
08.S2.R23.B,2166318.15,6531859.14,0,Pink - White
08.S2.R23.C,2166288.54,6531859.14,0,Blue - White
08.S2.R23.D,2166254.79,6531859.14,0,Blue - White
08.S2.R23.E,2166221.04,6531859.14,0,Pink - White
08.S2.R23.F,2166187.3,6531859.14,0,Pink - White
08.S2.R23.G,2166155.02,6531859.14,0,Green
